	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
13	DB00620	Triamcinolone	"Triamcinolone hexacetonide injections are indicated for intralesional administration in alopecia areata, discoid lupus erythematosus, keloids, and necrobiosis lipoidica diabeticorum.[L8246] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8246]

Triamcinolone acetonide spray and cream are indicated for the treatment of inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L8249,L8258] A triamcinolone acetonide 10mg/mL or 40mg/mL injection is indicated intra-articularly for acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L8252,L8255] The same 10mg/mL injection is indicated by the intralesional route for the treatment of alopecia areata, discoid lupus erythematosus, keloids, necrobiosis lipoidica diabeticorum, and tumors of an aponeurosis or tendon.[L8252] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8252] The 40mg/mL injection is indicated intramuscularly for controlling severe allergic conditions such as asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity, perennial or seasonal allergic rhinitis, serum sickness, and transfusion reactions; treatment of bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, Stevens-Johnson syndrome, congenital adrenal hyperplasia, hypercalcemia in
cancer, nonsuppurative thyroiditis, autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, secondary thrombocytopenia, trichinosis, tuberculous meningitis, acute exacerbations of multiple sclerosis or cerebral edema, sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammation, berylliosis, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis, dermatomyositis, polymyositis, and systemic lupus erythematosus; adjunct treatment of adrenocortical insufficiency, regional enteritis, ulcerative colitis, fulminating or disseminated pulmonary tuberculosis, acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis; palliative management of leukemia and lymphoma; induction of diuresis or remission of proteinuria in idiopathic nephrotic syndrome or lupus erythematosus.[L8255] A triamcinolone intravitreal injection is indicated for the treatment of sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions.[L8261] The intravitreal injection is also used for visualization during vitrectomy.[L8261] An extended release suspension is indicated intra-articularly for management of pain in osteoarthritis of the knee.[L8264]

A triamcinolone acetonide suspension for injection into the suprachoroidal space is indicated for the treatment of macular edema associated with uveitis.[L38963]"	NR3C1	-4.888303156606162	<0.0001
14	DB03444	6-bromoindirubin-3'-oxime		GSK3B	-4.704020710006339	<0.0001
15	DB01950	AR-AO-14418		GSK3B	-4.704020710006339	<0.0001
16	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE		MAPK1	-4.540593885932957	<0.0001
17	DB08521	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine		MAPK14, MAPK1	-4.4319699910600585	<0.0001
18	DB03044	Doramapimod		MAPK14	-4.323346096187161	<0.0001
19	DB07138	Neflamapimod		MAPK14	-4.323346096187161	<0.0001
20	DB05482	7-ethyl-10-hydroxycamptothecin	Investigated for use/treatment in colorectal cancer.	TOP1	-4.208882942855847	<0.0001
21	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE		PTK2	-3.9772826574627516	<0.0001
22	DB06733	Bafilomycin A1		ATP6V1A	-3.9101341652145423	<0.0001
23	DB08881	Vemurafenib	"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271] 
Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"	BRAF	-3.8191822519515664	<0.0001
24	DB06999	PLX-4720		BRAF	-3.8191822519515664	<0.0001
25	DB12015	Alpelisib	Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer.[Label] This cancer must be hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, and PIK3CA­ mutated.[Label] The cancer must be detected by an FDA-approved test following progression on or after an endocrine-based regimen.[Label]	PIK3CA	-3.799360524018136	<0.0001
26	DB00864	Tacrolimus	For use after allogenic organ transplant to reduce the activity of the patient's immune system and so the risk of organ rejection. It was given FDA approval in 1994 for use in liver transplantation. Since then, this indication has expanded to kidney, heart, small bowel, pancreas, lung, trachea, skin, cornea, and limb transplants. It has also been used in a topical preparation in the treatment of severe atopic dermatitis.	FKBP1A	-3.6900377061687313	<0.0001
27	DB08626	Thiorphan		MME	-3.6533077843700186	<0.0001
28	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide		EPHA7	-3.6319693780011395	<0.0001
29	DB02565	4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide		HDAC8	-3.553691581203017	<0.0001
30	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide		HDAC8	-3.553691581203017	<0.0001
31	DB01131	Proguanil	For the causal prevention and suppression of malaria caused by susceptible strains of <i>P. falciparum</i> and other species of Plasmodium found in some geographical areas of the world.	DHFR	-3.5028248322183044	<0.0001
32	DB12518	Raclopride		DRD2	-3.4867557913879526	<0.0001
33	DB00372	Thiethylperazine	For the treatment or relief of nausea and vomiting.	DRD2	-3.4867557913879526	<0.0001
34	DB09224	Melperone	For the treatment of schizophrenia, sleep, disorders, agitation and mentally confused states [L1317, L1319, L1322].  	DRD2	-3.4867557913879526	<0.0001
35	DB04960	Tipifarnib	Investigated for use/treatment in colorectal cancer, leukemia (myeloid), pancreatic cancer, and solid tumors.	FNTB	-3.387343429440602	<0.0001
36	DB00261	Anagrelide	Anagrelide is indicated for the treatment of thrombocythemia, secondary to malignant neoplasms, to reduce platelet count and the associated risk of thrombosis. It is also beneficial in the amelioration of thrombocythemia symptoms including thrombo-hemorrhagic events.[L14153]	PDE3A	-3.2147082582334123	<0.0001
37	DB01166	Cilostazol	Indicated for the alleviation of symptoms of intermittent claudication (pain in the legs that occurs with walking and disappears with rest).	PDE3A	-3.2147082582334123	<0.0001
38	DB02918	Zardaverine		PDE4D	-3.189514282720215	<0.0001
39	DB04149	(R)-Rolipram		PDE4B, PDE4D	-3.167370941760875	<0.0001
40	DB02877	Arotinoid acid		RARB	-2.9907831773129376	<0.0001
41	DB06654	Safinamide	Safinamide is indicated as an add-on treatment to levodopa with or without other medicines for Parkinson’s disease	MAOB	-2.9907831773129376	<0.0001
42	DB08916	Afatinib	"Afatinib is a kinase inhibitor indicated as monotherapy [L2937] for the first-line [FDA Label] treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test [FDA Label], and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy [FDA Label, L2937].

Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [L2939]. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I [L2939]."	ERBB4, ERBB2, EGFR	-2.9261583413860754	<0.0001
43	DB03759	FG-9041		GRIA2	-2.7878885062736747	<0.0001
44	DB00630	Alendronic acid	Alendronic acid is indicated for the treatment and prevention of osteoporosis in men and postmenopausal women, treatment of glucocorticoid-induced osteoporosis, and Paget's disease of bone[FDA Label][A959,A176750]. However, alendronic acid is not indicated for use in pediatric populations or patients with a creatinine clearance <35mL/min[FDA Label].	PTPN4, PTPRS, ATP6V1A, PTPRE, FDPS	-2.6827299168112932	<0.0001
45	DB00850	Perphenazine	For use in the management of the manifestations of psychotic disorders and for the control of severe nausea and vomiting in adults.	DRD1, DRD2, CALM1	-2.5913757120742935	<0.0001
46	DB01013	Clobetasol propionate	Clobetasol propionate is indicated to treat moderate to severe plaque psoriasis[L11818,L118121,L11824] as well as inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L11815,L11827]	NR3C2, NR3C1, ANXA1	-2.517109797253792	<0.0001
47	DB12500	Fedratinib	Fedratinib is indicated to treat adults with primary or secondary myelofibrosis that is either intermediate-2 or high risk.[L8090]	FLT3, JAK1, JAK2	-2.494486963043117	<0.0001
