dataset,cell_type,tool,list_len,sel_TP,top20_TP,cond_top20,top50_TP,cond_top50,mean_rank_pctile_selTP
HL_puHD_E_CTRL,oligo,L2S2_dir,2,0,0,,0,,
HL_puHD_E_CTRL,opc,iGSEA,280,5,0,0.0,0,0.0,0.7421428571428572
HL_puHD_E_CTRL,opc,L2S2,50,3,2,0.6666666666666666,3,1.0,0.3333333333333333
HL_puHD_E_CTRL,opc,L2S2_dir,1,0,0,,0,,
HL_puHD_E_CTRL,pericyte,iGSEA,24,1,1,1.0,1,1.0,0.3333333333333333
HL_puHD_E_CTRL,pericyte,L2S2,21,1,0,0.0,1,1.0,1.0
HL_puHD_E_CTRL,tcell,iGSEA,51,1,1,1.0,1,1.0,0.17647058823529413
HL_puHD_E_CTRL,tcell,L2S2,27,0,0,,0,,
RL_cdHDJ_E_CTRL,d2msn,iGSEA,192,4,0,0.0,0,0.0,0.5703125
RL_cdHDJ_E_CTRL,d2msn,L2S2,57,0,0,,0,,
RL_cdHDJ_E_CTRL,d2msn,L2S2_dir,6,0,0,,0,,
RL_cdHDJ_E_CTRL,hybridMSN,iGSEA,147,4,1,0.25,1,0.25,0.5476190476190476
RL_cdHDJ_E_CTRL,hybridMSN,L2S2,55,1,0,0.0,1,1.0,0.8909090909090909
RL_cdHDJ_E_CTRL,hybridMSN,L2S2_dir,1,0,0,,0,,
RL_cdHDJ_E_CTRL,interneuronCALB2,iGSEA,131,0,0,,0,,
RL_cdHDJ_E_CTRL,interneuronCALB2,L2S2,25,0,0,,0,,
RL_cdHDJ_E_CTRL,interneuronCALB2,L2S2_dir,58,0,0,,0,,
RL_cdHDJ_E_CTRL,interneuronOPN3,iGSEA,192,3,0,0.0,1,0.3333333333333333,0.5451388888888888
RL_cdHDJ_E_CTRL,interneuronOPN3,L2S2,40,0,0,,0,,
RL_cdHDJ_E_CTRL,interneuronOPN3,L2S2_dir,40,0,0,,0,,
RL_cdHD_E_CTRL,ast,iGSEA,195,7,0,0.0,1,0.14285714285714285,0.5457875457875458
RL_cdHD_E_CTRL,ast,L2S2,50,2,2,1.0,2,1.0,0.16999999999999998
RL_cdHD_E_CTRL,ast,L2S2_dir,23,1,1,1.0,1,1.0,0.13043478260869565
RL_cdHD_E_CTRL,d1msn,iGSEA,158,4,1,0.25,1,0.25,0.430379746835443
RL_cdHD_E_CTRL,d1msn,L2S2,69,0,0,,0,,
RL_cdHD_E_CTRL,d1msn,L2S2_dir,2,0,0,,0,,
RL_cdHD_E_CTRL,d2msn,iGSEA,161,5,1,0.2,1,0.2,0.5055900621118012
RL_cdHD_E_CTRL,d2msn,L2S2,68,1,0,0.0,0,0.0,0.9117647058823529
RL_cdHD_E_CTRL,d2msn,L2S2_dir,1,0,0,,0,,
RL_cdHD_E_CTRL,endothelia,iGSEA,65,2,1,0.5,2,1.0,0.3769230769230769
RL_cdHD_E_CTRL,endothelia,L2S2,27,0,0,,0,,
RL_cdHD_E_CTRL,endothelia,L2S2_dir,103,2,1,0.5,1,0.5,0.3349514563106796
RL_cdHD_E_CTRL,ependymal,iGSEA,122,3,0,0.0,1,0.3333333333333333,0.4207650273224044
RL_cdHD_E_CTRL,ependymal,L2S2,39,2,2,1.0,2,1.0,0.21794871794871795
RL_cdHD_E_CTRL,ependymal,L2S2_dir,21,0,0,,0,,
RL_cdHD_E_CTRL,hybridMSN,iGSEA,110,3,0,0.0,2,0.6666666666666666,0.5515151515151515
RL_cdHD_E_CTRL,hybridMSN,L2S2,31,2,1,0.5,2,1.0,0.564516129032258
RL_cdHD_E_CTRL,interneuronCALB2,iGSEA,134,2,0,0.0,0,0.0,0.8395522388059702
RL_cdHD_E_CTRL,interneuronCALB2,L2S2,30,1,0,0.0,1,1.0,1.0
RL_cdHD_E_CTRL,interneuronCALB2,L2S2_dir,61,0,0,,0,,
RL_cdHD_E_CTRL,interneuronOPN3,iGSEA,150,3,0,0.0,1,0.3333333333333333,0.6044444444444445
RL_cdHD_E_CTRL,interneuronOPN3,L2S2,40,1,0,0.0,1,1.0,0.625
RL_cdHD_E_CTRL,interneuronOPN3,L2S2_dir,47,0,0,,0,,
RL_cdHD_E_CTRL,microglia,iGSEA,92,3,0,0.0,0,0.0,0.6449275362318841
RL_cdHD_E_CTRL,microglia,L2S2,25,1,1,1.0,1,1.0,0.36
RL_cdHD_E_CTRL,microglia,L2S2_dir,5,0,0,,0,,
RL_cdHD_E_CTRL,oligo,iGSEA,72,3,0,0.0,3,1.0,0.5833333333333334
RL_cdHD_E_CTRL,oligo,L2S2,24,0,0,,0,,
RL_cdHD_E_CTRL,oligo,L2S2_dir,16,0,0,,0,,
RL_cdHD_E_CTRL,opc,iGSEA,147,3,0,0.0,1,0.3333333333333333,0.49659863945578236
RL_cdHD_E_CTRL,opc,L2S2,38,3,2,0.6666666666666666,3,1.0,0.5526315789473685
RL_cdHD_E_CTRL,opc,L2S2_dir,14,0,0,,0,,
