	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
144	DB01259	Lapatinib	Indicated in combination with capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress the human epidermal receptor type 2 (HER2) protein and who have received prior therapy including an anthracycline, a taxane, and trastuzuma.	ERBB2, EGFR	-2.2988527737173263	0.02389880220590818
145	DB02509	Farnesol		MAOB, NR1H4	-1.237156882992383	0.02455440596247501
146	DB00288	Amcinonide	For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	ANXA1, NR3C1	-1.6730007097570736	0.027854235219808433
147	DB00481	Raloxifene	"Indicated for the prevention and treatment of osteoporosis in postmenopausal women, as well as prevention and treatment of corticosteroid-induced bone loss.[label]

Indicated for the reduction in the risk of invasive breast cancer in postmenopausal women with osteoporosis or postmenopausal women with a high risk for invasive breast cancer.[label]"	ESR2, ESR1, TFF1, SERPINB9	-1.0354295052488678	0.03252974703643426
148	DB08437	Puromycin		RPL37, RPL11, RPL8, RPL23A, RPL19, RSL24D1, RPL26L1, RPL23, RPL3, RPL13A, RPL15, RPL10L	-0.42824177024042853	0.045626110362099445
149	DB09213	Dexibuprofen	For more information, refer to [ibuprofen].	THBD, SLC15A1, PLAT, FABP2, GP1BA, PTGS1, PPARA, PTGS2, BCL2, CFTR, PPARG, S100A7	-0.2609112734237655	0.058425802987147536
150	DB01053	Benzylpenicillin	For use in the treatment of severe infections caused by penicillin G-susceptible microorganisms when rapid and high penicillin levels are required such as in the treatment of septicemia, meningitis, pericarditis, endocarditis and severe pneumonia.	SLC15A1, SLC15A2, SLC22A8	-0.5879764645658597	0.06177166266642526
151	DB01166	Cilostazol	Indicated for the alleviation of symptoms of intermittent claudication (pain in the legs that occurs with walking and disappears with rest).	PDE3A	-3.0108204436024213	0.06812986913760825
152	DB00736	Esomeprazole	Esomeprazole is indicated for the treatment of acid-reflux disorders including healing and maintenance of erosive esophagitis, and symptomatic gastroesophageal reflux disease (GERD), peptic ulcer disease, H. pylori eradication, prevention of gastrointestinal bleeds with NSAID use, and for the long-term treatment of pathological hypersecretory conditions including Zollinger-Ellison Syndrome. 	ATP4A, DDAH1	-1.1760918277422532	0.0901910270319297
153	DB00570	Vinblastine	For treatment of breast cancer, testicular cancer, lymphomas, neuroblastoma, Hodgkin's and non-Hodgkin's lymphomas, mycosis fungoides, histiocytosis, and Kaposi's sarcoma.	TUBE1, TUBG1, TUBD1, TUBB, JUN, TUBA1A	-0.5534273631006559	0.10299655573511507
154	DB07780	Farnesyl diphosphate		FNTA, FDPS, FNTB, KRAS, RABGGTB, RABGGTA, GGPS1	-0.17690038305630076	0.11746973030109063
155	DB00841	Dobutamine	Indicated when parenteral therapy is necessary for inotropic support in the short-term treatment of patients with cardiac decompensation due to depressed contractility resulting either from organic heart disease or from cardiac surgical procedures.	ADRB2, ESR1, ADRB1, ADRA1A	-1.0354295052488678	0.14674410925194623
156	DB04824	Phenolphthalein	Used for over a century as a laxative.	NR1I3, SHBG, UGT1A9, NR1I2, ESR1	-0.7637695722120651	0.15141706832794333
157	DB02010	Staurosporine		PRKCQ, ZAP70, LCK, PIK3CG, MAPKAPK2, ITK, GSK3B, CDK2, PIM1, CSK, SYK, PDPK1, CHRM1	-0.3308720862668109	0.16511335858367343
158	DB08865	Crizotinib	Crizotinib is used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic-lymphoma kinase (ALK)-positive as detected by a FDA-approved test. 	MET, ALK	-1.4410418846923276	0.1784707193914355
159	DB07594	CCT-018159		HSP90AB1, HSP90AA1	-4.6000532601406015	0.18526465684912477
160	DB01119	Diazoxide	Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.	KCNJ11, KCNMA1, CA1, CA2, ATP1A1	-0.22363781476545774	0.23257705792294756
