Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NPC.CAS9_24H:K19	DB01590	Everolimus	0.18387887483997908	0.9632069090401617	0.6180051510184968	0.7403311222387925	NPC.CAS9
LJP007_JURKAT_24H:I23	DB13005	Rebastinib	-0.17343637327472877	-0.9672880244753281	0.6183447548761202	0.7405787846324653	JURKAT
LJP009_NPC_24H:E22	DB08901	Ponatinib	0.19463410111809928	0.9700673559522686	0.6191485068603713	0.7413128608723821	NPC
CPC017_NPC_24H:BRD-A09472452-015-11-9:10	DB01195	Flecainide	0.16511840345757972	0.9736107454316284	0.6192236598890942	0.7413128608723821	NPC
LJP009_NPC.CAS9_24H:O20	DB07232	Veliparib	-0.1686577866258067	-0.9707383527077412	0.6197991391678622	0.741743624841408	NPC.CAS9
LJP007_JURKAT_24H:K23	DB01590	Everolimus	0.169519322780211	0.9720586029112497	0.6198496240601504	0.741743624841408	JURKAT
LJP007_NPC.CAS9_24H:P11	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.19244495851128493	-0.9645186273834567	0.6201071281417387	0.7418924945829688	NPC.CAS9
CPC016_NEU_24H:BRD-A58207013-001-01-2:10	DB06762	Pinacidil	0.20618299371575222	0.9683947862502245	0.6203192450557173	0.7419870111460447	NEU
CPC014_NEU_24H:BRD-A84327315-001-01-1:10	DB00136	Calcitriol	-0.17090518507825495	-0.9668112998903712	0.6205314471420379	0.7420815890087361	NEU
CPC016_NEU_24H:BRD-K35189033-001-03-0:10	DB09389	Norgestrel	-0.2070139291523731	-0.970777885359973	0.6211802424606753	0.7426981277296877	NEU
DOSBIO002_NEU_24H:BRD-K27305650:10	DB02656	LY-294002	0.17804214572381147	0.9636430337043315	0.6213765802579492	0.7427735488650672	NEU
CPC006_NOMO1_6H:BRD-K81418486-001-13-7:11.1	DB02546	Vorinostat	-0.17559230279430416	-0.965851231310342	0.6219249692496925	0.7431417143753432	NOMO1
LJP009_NPC.TAK_24H:E11	DB01782	Pyrazolanthrone	0.16772501136058382	0.9709231705993252	0.6219512195121951	0.7431417143753432	NPC.TAK
CPC006_U937_6H:BRD-A56592690-001-01-9:30	DB05448	PX-12	-0.18325489831230882	-0.9638899502723026	0.6226640591047371	0.7438340045970435	U937
LJP008_NEU_24H:D19	DB13978	Selisistat	-0.1641972739168522	-0.9778067379543456	0.6228855721393035	0.7438719066244952	NEU
LJP008_NPC.TAK_24H:J10	DB05223	Pracinostat	0.17467308740362555	0.9709403627562141	0.6229626946758421	0.7438719066244952	NPC.TAK
CPC016_NEU_24H:BRD-K33453211-003-03-2:10	DB01106	Levocabastine	-0.1923755046494899	-0.9672697096181835	0.6246444534741975	0.74572032205294	NEU
CPC006_U937_6H:BRD-A75817871-001-04-2:40	DB01944	(S)-blebbistatin	-0.16624555575652653	-0.969936552509158	0.6251334044823906	0.7461442390973972	U937
LJP009_NPC_24H:L07	DB05984	RAF-265	0.17981251922919497	0.9638005594066422	0.6252844141069397	0.7461647022547809	NPC
CPC006_WSUDLCL2_6H:BRD-K54256913-001-01-2:10	DB11740	MK-1775	0.17632310691110664	0.9652598757369572	0.6260690528983212	0.7469411174775775	WSUDLCL2
CPC015_NPC_24H:BRD-K85119730-001-17-2:10	DB01124	Tolbutamide	0.16833374792368197	0.9726599778144954	0.6277915632754343	0.7487183674165243	NPC
LJP007_JURKAT_24H:B11	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.19350607446191437	-0.9645879799649825	0.6278273500726291	0.7487183674165243	JURKAT
NMH002_NPC_6H:BRD-A48430263-001-05-1:10	DB01132	Pioglitazone	-0.19350328416270623	-0.9652047482073763	0.6291505398248116	0.7501358521889839	NPC
LJP008_NPC_24H:L13	DB08756	Y-27632	-0.17335045350049505	-0.9654613838240463	0.6294175392670157	0.7502396968373533	NPC
